Model,Precision,Recall,F1,ROC-AUC
NaiveBayes,0.9982905982905983,0.7817539149888143,0.8767103149701094,0.9878375908474458
LogisticRegression,0.9855103088600383,0.725565995525727,0.8356855749679848,0.9909214081209214
LinearSVM,0.9784093162752263,0.9036241610738255,0.939358332970816,0.9920526990529842
VotingHard,0.9872380952380952,0.8286353467561522,0.9010054720483156,
VotingSoft,0.9850396917688405,0.8861834451901567,0.932869542263424,0.9923957019160552
Stacking,0.9706812558775668,0.9290380313199107,0.9492995567871574,0.991985877061817
AdaBoost_Stumps,0.9546824355530911,0.42709619686800887,0.5898978949861482,0.9269841684923092
